Key,Value
BLR_PCPI,1461.262
BLR_NGDP_FY,2142153.117
BLR_NGDPPC,233159854.867
BLR_LUR,0.515
BLR_LP,9.187
BLR_GGX_NGDP,46.177
BLR_GGXWDN_NGDP,
BLR_GGX,989189.527
BLR_BCA,-3.316
BEL_PPPPC,50406.36
BEL_PPPGDP,584.337
BEL_PCPIE,129.633
BEL_PCPI,128.572
BEL_NGDP_FY,470.031
BEL_NGDPPC,40546.042
BEL_LUR,8.012
BEL_LP,11.593
BEL_GGX_NGDP,51.05
BEL_GGXWDN_NGDP,62.924
BEL_GGX,239.952
BEL_BCA,12.615
BLZ_PPPPC,9455.697
BLZ_PPPGDP,3.799
BLZ_PCPIE,149.849
BLZ_PCPI,149.139
BLZ_NGDP_FY,4.489
BLZ_NGDPPC,11051.563
BLZ_LUR,10.098
BLZ_LP,0.402
BLZ_GGX_NGDP,29.425
BLZ_GGXWDN_NGDP,88.267
BLZ_GGX,1.321
BLZ_BCA,-0.156
BEN_PPPPC,2499.6
BEN_PPPGDP,30.47
BEN_PCPIE,128.608
BEN_PCPI,127.635
BEN_NGDP_FY,6627.439
BEN_NGDPPC,543684.213
BEN_LUR,
BEN_LP,12.19
BEN_GGX_NGDP,23.116
BEN_GGXWDN_NGDP,
BEN_GGX,1532.021
BEN_BCA,-1.094
BMU_PPPPC,0
BMU_PPPGDP,0
BMU_PCPIE,0
BMU_PCPI,0
BMU_NGDP_FY,0
BMU_NGDPPC,0
BMU_LUR,0
BMU_LP,0
BMU_GGX_NGDP,0
BMU_GGXWDN_NGDP,0
BMU_GGX,0
BMU_BCA,0
BTN_PPPPC,12521.747
BTN_PPPGDP,10.575
BTN_PCPIE,1494.391
BTN_PCPI,1577.909
BTN_NGDP_FY,284.805
BTN_NGDPPC,337224.541
BTN_LUR,3.2
BTN_LP,0.845
BTN_GGX_NGDP,25.886
BTN_GGXWDN_NGDP,
BTN_GGX,73.724
BTN_BCA,-0.246
BOL_PPPPC,7775.404
BOL_PPPGDP,98.86
BOL_PCPIE,209.02
BOL_PCPI,204.322
BOL_NGDP_FY,360.686
BOL_NGDPPC,28368.322
BOL_LUR,4.0
BOL_LP,12.714
BOL_GGX_NGDP,37.257
BOL_GGXWDN_NGDP,43.8
BOL_GGX,134.383
BOL_BCA,-0.509
BES_PPPPC,0
BES_PPPGDP,0
BES_PCPIE,0
BES_PCPI,0
BES_NGDP_FY,0
BES_NGDPPC,0
BES_LUR,0
BES_LP,0
BES_GGX_NGDP,0
BES_GGXWDN_NGDP,0
BES_GGX,0
BES_BCA,0
BIH_PPPPC,13541.346
BIH_PPPGDP,51.797
BIH_PCPIE,150.878
BIH_PCPI,153.696
BIH_NGDP_FY,35.93
BIH_NGDPPC,9393.233
BIH_LUR,24.5
BIH_LP,3.825
BIH_GGX_NGDP,48.505
BIH_GGXWDN_NGDP,32.113
BIH_GGX,17.428
BIH_BCA,-1.231
BWA_PPPPC,20907.089
BWA_PPPGDP,47.208
BWA_PCPIE,360.563
BWA_PCPI,365.594
BWA_NGDP_FY,223.768
BWA_NGDPPC,97584.715
BWA_LUR,
BWA_LP,2.258
BWA_GGX_NGDP,27.225
BWA_GGXWDN_NGDP,
BWA_GGX,60.92
BWA_BCA,3.411
BVT_PPPPC,0
BVT_PPPGDP,0
BVT_PCPIE,0
BVT_PCPI,0
BVT_NGDP_FY,0
BVT_NGDPPC,0
BVT_LUR,0
BVT_LP,0
BVT_GGX_NGDP,0
BVT_GGXWDN_NGDP,0
BVT_GGX,0
BVT_BCA,0
BRA_PPPPC,18756.786
BRA_PPPGDP,3977.896
BRA_PCPIE,36455636048713.1
BRA_PCPI,35735597581496.6
BRA_NGDP_FY,8555.797
BRA_NGDPPC,40342.75
BRA_LUR,5.509
BRA_LP,212.078
BRA_GGX_NGDP,37.577
BRA_GGXWDN_NGDP,33.419
BRA_GGX,3214.983
BRA_BCA,-76.049
IOT_PPPPC,0
IOT_PPPGDP,0
IOT_PCPIE,0
IOT_PCPI,0
IOT_NGDP_FY,0
IOT_NGDPPC,0
IOT_LUR,0
IOT_LP,0
IOT_GGX_NGDP,0
IOT_GGXWDN_NGDP,0
IOT_GGX,0
IOT_BCA,0
BRN_PPPPC,97031.676
BRN_PPPGDP,44.08
BRN_PCPIE,100.903
BRN_PCPI,101.001
BRN_NGDP_FY,24.465
BRN_NGDPPC,53854.511
BRN_LUR,2.7
BRN_LP,0.454
BRN_GGX_NGDP,34.403
BRN_GGXWDN_NGDP,
BRN_GGX,8.417
BRN_BCA,2.204
BGR_PPPPC,22855.788
BGR_PPPGDP,159.734
BGR_PCPIE,155.236
BGR_PCPI,152.826
BGR_NGDP_FY,98.333
BGR_NGDPPC,14070.193
BGR_LUR,8.07
BGR_LP,6.989
BGR_GGX_NGDP,35.706
BGR_GGXWDN_NGDP,3.861
BGR_GGX,35.111
BGR_BCA,-1.316
BFA_PPPPC,2248.316
BFA_PPPGDP,46.517
BFA_PCPIE,119.841
BFA_PCPI,119.017
BFA_NGDP_FY,9854.222
BFA_NGDPPC,476283.786
BFA_LUR,
BFA_LP,20.69
BFA_GGX_NGDP,26.888
BFA_GGXWDN_NGDP,
BFA_GGX,2649.597
BFA_BCA,-1.212
BDI_PPPPC,1188.767
BDI_PPPGDP,12.61
BDI_PCPIE,144.421
BDI_PCPI,138.803
BDI_NGDP_FY,8935.845
BDI_NGDPPC,842370.181
BDI_LUR,
BDI_LP,10.608
BDI_GGX_NGDP,27.38
BDI_GGXWDN_NGDP,
BDI_GGX,2446.604
BDI_BCA,-0.627
CPV_PPPPC,8173.596
CPV_PPPGDP,4.561
CPV_PCPIE,160.123
CPV_PCPI,158.383
CPV_NGDP_FY,227.943
