"Total Revenue - Capital IQ [LTM] ($USDmm, Historical rate)","Total Equity - Capital IQ [LTM] ($USDmm, Historical rate)",Return on Capital - Capital IQ [LTM],Recurring Earnings / Total Assets - Capital IQ [LTM],Net Working Capital / Revenue - Capital IQ [LTM],Asset Turnover - Capital IQ [LTM],Net Working Capital/ Total Assets - Capital IQ [LTM],Payables / Receivables - Capital IQ [LTM],Management Rate of Return (%) - Capital IQ [LTM],Gross Margin % - Capital IQ [LTM],EBITDA Margin % - Capital IQ [LTM],FFO Interest Coverage - Capital IQ [LTM],EBITDA / Interest Exp. - Capital IQ [LTM],FFO to Total Debt - Capital IQ [LTM],Net Debt/EBITDA - Capital IQ [LTM],Total Debt to Capital - Capital IQ [LTM],Total Debt/Total Liabilities % - Capital IQ [LTM],Total Debt/Revenue - Capital IQ [LTM],(FFO + Cash) to Short Term Debt - Capital IQ [LTM],FFO to Gross Profit - Capital IQ [LTM],Basic Defense Interval - Capital IQ [LTM] (Days),Current Ratio - Capital IQ [LTM],Quick Ratio - Capital IQ [LTM],CreditModel - EBIT Interest Coverage [Latest Quarter] (Model Version 2.6),CreditModel - Free Operating Cash Flow / Debt [Latest Quarter] (Model Version 2.6),CreditModel - Gearing Ratio [Latest Quarter] (Model Version 2.6),"Total Equity - Capital IQ [Latest Annual] ($USDmm, Historical rate)",Debt/Debt And Equity (%) - Credit Stats Direct [LTM],FFO/Debt (%) - Credit Stats Direct [LTM],Common Dividend Payout Ratio (%) - Credit Stats Direct [Latest Annual],"As-Reported Total Revenue - Capital IQ [LTM] ($USD, Historical rate)",# of Analyst Low (4) Industry Recommendations - Capital IQ [Latest],CUSTOMGeography Encoding,CUSTOMBusiness Encoding,CUSTOM Industry Outlook Weighted Average,CUSTOMPPPPC,CUSTOMPPPGDP,CUSTOMPCPIE,CUSTOMPCPI,CUSTOMNGDP_FY,CUSTOMNGDPPC,CUSTOMLUR,CUSTOMLP,CUSTOMGGX_NGDP,CUSTOMGGX,CUSTOMBCA
4974.3,14780.8,11.2,9.96,0.047,0.197,0.009,1.55,10.8,53.4,85.8,14.5,19.5,0.543,1.35,26,55.7,1.18,9.62,1.2,119.4,0.988,0.489,24.7 ,0.6 ,0.4 ,14780.8,30.8,47.1,13.8,6908.9,0,-0.0,-0.0,4,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
6453,11205,11.9,10.5,-0.054,0.33,-0.018,1.18,12.1,76.5,66.8,12,12.9,0.72,1.25,32.8,67.8,0.88,1.96,0.828,94.4,0.4,0.336,8.3 ,0.4 ,0.5 ,11205,35,70.3,16.2,6697,0,0.2043246709802796,0.2043246709802796,2,0.8587981005224149,0.7711733604107869,7.311517803278298e-12,7.371883103373786e-12,0.0010909962871512371,0.0030443962468030554,0.27823752151462994,0.22788480482991486,0.759110764768275,0.0021457773042675883,-1.1843628551834684
4146.5,4820.7,7.04,6.09,0.075,0.559,0.042,0.55,12,32.2,28.5,19,22.8,0.748,0.958,21,51.8,0.324,17.2,0.753,117.1,1.41,1.16,11.4 ,0.5 ,0.5 ,4820.7,20.2,94.7,41.4,4146.5,0,0.16784603739710385,1.2881512929134786,4,0.8704899317288122,0.7873747817847292,7.291501564189843e-12,7.353688543927492e-12,0.0017914921824531966,0.004587314697545736,0.2903540719078733,0.23298251129246628,0.7640984164654533,0.0032249583209001866,-1.2090737832179965
10661,10370,17.2,14.7,-0.077,0.533,-0.041,0.441,20,46.6,44.9,11.7,13.8,0.624,1.35,38.9,69.5,0.627,11.2,0.839,60.4,0.596,0.5,12.3 ,0.2 ,0.7 ,10370,43.6,50.7,6.57,10883,0,0.7866261099706012,1.3543638072579276,2,0.8333316484261817,0.6259650248339093,6.51852692084325e-12,6.5775257980212585e-12,0.0008858540257770012,0.0009188503034331034,0.31124369398777374,0.1863270113130268,0.783589085871377,0.0017510738902727734,-0.9536170463277397
7959,17430,16.3,15,-0.129,0.274,-0.035,0.309,16.9,84,76.5,30.1,30.9,0.87,1.02,25.5,58.8,0.855,141.3,0.885,110.4,0.769,0.678,18.5 ,0.2 ,0.4 ,17430,26.4,89.4,50,8412,0,-0.0,0.2647650339356807,4,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
3448.9,5549.7,13.1,10.6,-0.059,0.353,-0.021,1.3,11.8,76,57.9,15.9,21.8,0.837,0.738,26.4,49.5,0.606,9.9,0.667,88.8,0.889,0.781,12 ,0.3 ,0.5 ,5549.7,33.1,73.9,30.2,3460.1,0,0.6385998126311692,0.6497678738460639,2,0.8495351338861735,0.6873726396265163,6.811567345262278e-12,6.8717813962367624e-12,0.000970046607645288,0.0009203363487350472,0.30267793111663316,0.20398163108342107,0.7773317137376586,0.001914973889067503,-1.0507055832743752
28257,30349,10.5,8.07,-0.019,0.382,-0.007,1.14,10.1,60.1,46.1,13,14.7,0.589,1.4,36.7,47.9,0.74,8.33,0.725,68.7,0.916,0.514,9.5 ,0.4 ,0.7 ,30349,59,35.6,16.3,28918,0,0.6197604376555947,1.0862956928670808,2,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
2553.3,3765.6,21.8,18.5,0.034,0.354,0.012,0.401,21.4,44.8,67.7,7.89,14.7,0.543,0.87,29.4,52.4,0.706,102.7,0.854,114.7,1.49,0.848,16.5 ,0.7 ,0.5 ,3765.6,35.7,55.9,8.87,3374.4,0,-0.0,-0.0,6,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
6047,10729,17.1,15.3,0.05,0.421,0.021,0.726,21,35.9,61.8,22.9,37.4,1.12,0.27,16.5,58.3,0.352,41.2,1.1,133.9,1.99,1.3,31.6 ,0.8 ,0.2 ,10729,11.7,161.3,20.1,8721,0,-0.0,-0.0,2,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
2268.8,3615.9,17.6,15.5,-0.14,0.356,-0.05,0.612,19.4,81.4,73.9,17.2,21.4,0.975,0.511,28.8,58.4,0.712,142,0.852,210.4,1.45,1.34,16.1 ,0.2 ,0.5 ,3615.9,28.6,107.7,9.07,2373.9,0,-0.0,-0.0,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
